127.0.0.1 - - [20/Mar/2025:08:50:15 +0900] "GET / HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13343
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/css/header1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/html/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/img2/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/js/header1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/html/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/img2/inquiry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/img2/speaker%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/img2/inquiryList.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/img2/slideBanner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:50:16 +0900] "GET /img/backgorund.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:10 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:10 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:10 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:10 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:10 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:11 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:11 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:20 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:20 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:21 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:21 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:21 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:21 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:08:53:21 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13344
